# SHA-256 Reproducibility Verification
# n=100 beta=20, seeds 1-100
#
# Two independent environments, bit-identical numerical results:
#   Local VM:  Ubuntu 24.04, Python 3.12.3, fpylll 0.6.4, MPFR 4.2.1
#   AWS Batch: Debian Bookworm, Python 3.12.3, fpylll 0.6.4, MPFR 4.2.0
#
# Hash computed over all deterministic result fields (sorted JSON).
# Excludes: bkz_time, sdbkz_time, timestamp, status (environment-dependent).
#
# Seed                                       SHA-256 (both environments)  Match
     1  d9b3059f56351676487505d92f13cf7ec808119c21791dad754c28870ab6b3eb  ✓
     2  9ad666b0ddbb8e13f4c8893ed86386db0b8f017be21566579cd057beb7156e7a  ✓
     3  862851ac85da7987267a40bc711e41b512997b901383770ff4e8631ed0dc9cb2  ✓
     4  0e028973f3f159aa34a844ed121080ab0ef5e9113ff02e244399076361c5fc78  ✓
     5  f05aa732b0c9914c5866d499311578b7b1f3f090199b15481e4fe60bb024113f  ✓
     6  c4f2fbeb5215fa697be2d9baa4f9f022d9ca13989cba3f029bfedcd7175fb3c7  ✓
     7  3153bb29e1e87734cc272524fec5192985458098b219682e114e90495b242699  ✓
     8  3e9c0cb50733ca4ed7159a51340fb9c80672899898de16a58a2e788cb5dc2073  ✓
     9  f2f3023adec91c3be9d19a55212fde98161dd064f5f6d3914ff9960321a9aec2  ✓
    10  359be7ac785a596c1dacf3deae16fa0083fa70cd9d6daf5322e4bae83d57309c  ✓
    11  2993e87771fbd0dde483cb04e2a675f9eb489d98c7dd2d3f3bae056cf1538345  ✓
    12  e778f734804f1601ff666069b5fcec3761d90900a0e10c4667bed9b1adc3721d  ✓
    13  9dde7030bcf327c4804b7a7263796be8dcd8a4ecd3fbac5dfd1f30703c1ef532  ✓
    14  ed950e63385e9eba61324d39f17f8dead560fceecdd792f6d196f4bd9cd3ccf0  ✓
    15  d40eb5750806e292823b13d033588a5664f0a5fb3ba640aa13f999df2318e20e  ✓
    16  42c52b9f2870694c2dd8602c2f71e0766ab1685ecf1a7a4e015500757f4b492e  ✓
    17  977eab2363c7659d8d6b35f260b728bda520a583dd36d8ed5df6ecb0afbd17f2  ✓
    18  bb3ee0bdb42222666a428846426feddd93a2ed297362c0bfe26fb4dd86b27c3b  ✓
    19  1c8e3a1084454761e0f6af0f8d3355fe0beb88dea62431335b31e62425823860  ✓
    20  bed3e2e99d8d1a4e8c4db912d095431b45aff2bb64aad34602b08a1ea3f7a1ea  ✓
    21  f7f5e22b62a5a742bef8fcd272852bd4554f8caf5fd99f70fb02e3898a232ab0  ✓
    22  f748a5f3de9117762f6b6e6e1b1543db5cf1d4c6ad404469c00b1b519c063f6c  ✓
    23  e4aa7e91b2b3990242e0d83f98e272df34ecde06625857dffe8923b031f3e60e  ✓
    24  9e48e4bd8647b9dacfbcce99da0cef79bf2308f99967a1b16eef78c878ba6bda  ✓
    25  796ea7d919d57d9b2cb9c07b6dabb72423d41e3265d84f5661725c1bf96d4be2  ✓
    26  1224c40a69b9205387869e955de1ffadb05f06eea70f4d690303a99dbc7ed917  ✓
    27  75be752bfd907c40533ae9e9698c7acc8898e05e15426f62f15e8dec4a5a2cdd  ✓
    28  cce275518184e9466a1d6f5ba2bdf76aac3ffc201499527a57272a538d1f1ef1  ✓
    29  bec53b73ccb0b89d4d9196b1a2d91e9fd638dd2bd62172eafe5b94036ffe6842  ✓
    30  f745790e3b57504775f53066322a6bc0fdeef9efeaf912f308d189a0cbe5137c  ✓
    31  fb15a4d6a231b3fd168e19a20a268569211008323764fcb1d681317609254b40  ✓
    32  e67a2e1b3d56290ce38a604a7c727cda43ee84e468888ce62ab5b45085c6816b  ✓
    33  b3b922644da22e1671fe23ea6fb76965f4c4b051cd3f74343354d63847957617  ✓
    34  9240f9149284b2df11c1eddf6b41d6f45bd04ce7553da17c2eb012306301da6f  ✓
    35  a3ec63049d05ddf1fe9beb5e3ffb26f05197ed11bcdee388dcb70d960e76f09b  ✓
    36  0019adc6e5086412562ded7d7df49d125b8dab8d2192ada2eb342da2b4c13c2a  ✓
    37  d85bd75871cac79754083cdff81778510df707a048f88ea3fbf6706d32d247c7  ✓
    38  22452484952d812a96e291b389ffc6071b5274b6eee313cf34b9f367a6cae511  ✓
    39  1facd0030688834af1f0477103ddd74d8db315cf959ea4181bce96e199aa830a  ✓
    40  5254ed8e8a43f7372683a4479fc00d1e51cfb3a25f899c4cc6f3fd631a46a276  ✓
    41  336ee984a59a2f3b7848e1d0d050de75d89be0b7cfa91147f170f9b7552c9771  ✓
    42  35382375ccaeb72c0a4e6bee597fa301020b97338788c365ed6da63fe93d194d  ✓
    43  8b0fc25e5f7878c42b60f6748a1ae19e1eacc85d406d06d4c9d23c386fa7c056  ✓
    44  75d08e71610f3f4d4be41f40cdbb41b4ad449c49dc7acec80b7f152a2a75674b  ✓
    45  7286c225388f049d46e3217706f62b12990080c9d58313909d4ad02de7babe8e  ✓
    46  87078f3b598a8c00c034cc6609bb2bc4dbb60494d4b03d7d5133c3c2c82c5303  ✓
    47  e2cf8d89549927f4b33853d94724eaf58943c38a9afd6990301a63185c80c283  ✓
    48  6084ac48df4d46fb979f5d0fa67aa0e95f760bf5a746079cda678810ba6074c5  ✓
    49  eebd38a6c20ed29bf3a3447626b58bed4b2cf881f57152017f4252defcf21ebf  ✓
    50  dc059ab820cc8706617c3f71c32a71c41a0ed505aee2eda327894c01ef16abb8  ✓
    51  e73655b0fdf9e8da5c756e42a78091e4e678b7c7f3d33e89ac88ea89b2a132e5  ✓
    52  e689b8004c71e5ca7d8b32a7280d4cec88bd46c7a0937ce302d6ea04e4e4efa6  ✓
    53  e2fed3c67029664a2538baab7d60f687974e72d751afedc336f5455449f7f7f0  ✓
    54  bb7ac11fc1808eb1f5cee8a711ad33d91367ba095883403c9260fdb72a768f04  ✓
    55  a5eb4727156199498808aaf67cc5ceb4fdc33b7a3f5cb4a371bf39a989db9e8a  ✓
    56  d361d77d282b28674a62ab5e05845bc9d703ece96d98be603a3aea00ea485594  ✓
    57  b91bd05240f92f501d3662c5867f192e1c2f02356852258cde529af7c343a184  ✓
    58  990d2029ababbee25b88e68a9d30d78af31eff9ab95702cf38aad45750e4bb0f  ✓
    59  1144b89e6746708ca92aff4dc3a65c1ed472273ed74e5a9962f2a8f7427444e2  ✓
    60  086961e7d3f1364d435f556b2fd347e6f31e51bcb2848a108b570e31cc1eae59  ✓
    61  1096b9a286eb7d41f3cdd1dfcd0b5a59e107a1d7016855585e0efec47c480173  ✓
    62  7118b69b9079f45b5427a062fb7ad76edd2c22716c1d8602582ee675f6e4ee17  ✓
    63  3cd0bd4e2889767ec9cedd8cbf28e37405a6598682e7579ede6d4b9dec4887bd  ✓
    64  29da273bb1d1dd7643bf24bc06e7d9a8ab19f1b805e9f02c59df2d248d7e30af  ✓
    65  6d8b4959f7ca91ef527405979009443e49a180e352924bf0a347df41bbcb4811  ✓
    66  1f5dc39787145f32a9ca8b4658d655603ba3166e9e989b5ed19d46653777da80  ✓
    67  987ebb896a180da459305334b9c0894b726726a5816cd40a1614ad4a184a7baa  ✓
    68  141c356a694c235e697f6fb283fc435467fc9697333d7e0aa256c9aceb91ca61  ✓
    69  c72eb26bbfdb5d10bbd15d958dd8abbe23e48174893013fd77a7d387a56ba533  ✓
    70  58f4c6114733feea5b2b9293ae2f7dbbdfe574aece8fc9c1ef1633b3c021562e  ✓
    71  16a204fd8a657bd232f620381c302d71c260621a4b45dd0125f7a36db03794fa  ✓
    72  bba9ad97496d113c79a33f9faaff7e1e5ce0adbfd9464a5b9a4b1581c7a82875  ✓
    73  47361fbf0a711f9d3072a877fbf2e77976afc81b8ac736c319f824f19ca149f7  ✓
    74  8b20b94bd8b09af43435dd2a2da43b0aec3055ec5f07b327910952a08926b0c7  ✓
    75  94d89ff71866e413942fc26f71fc7edf87d679a4f1d543e26700b9f30e5115ed  ✓
    76  2b38d92fb3b5b6297d9bea2359edcdb8772e89fe1932b359648e44d76222a5ae  ✓
    77  59c65be2de9e53cf309e4a5ac9586b160744865593ebae9e35efe1f7ddd65443  ✓
    78  b2a3900d461c9f2318ace6e25ac97dbb8f9950a990117d705a3eb6b7a780bde0  ✓
    79  070c5d7e2d53fb978975ce5b5591b26e195aad9122cf02cb2e61b43f38e0c42e  ✓
    80  23da1819494b5df99ba682a385dd43d0aff3dedc786f987c700a4f81ecd46cdd  ✓
    81  568c472b13ecfe3a5a11a9bc703327972d345302ba586202aa782e4a56f59bec  ✓
    82  a87612b6ed7551d828f6a966690e0bab266ff0b50ed806023fdf5dec9b956d1c  ✓
    83  849db40d5357a23a2416bbf40592b1805bd6eea715a36ee67d23d3d5367128b7  ✓
    84  c088f090dfbf49c21629f3ff564256a692e7fe30a79362adca1f80896c176169  ✓
    85  0294292449de986a9c9ef2285b5ca25a6d85da06fc91e9483799ea27c054c186  ✓
    86  c84cae5d0bafcf8dec2c8c0aae18eab7d5f5406d933ad6793c36d8dae1441bdf  ✓
    87  617a1f00f06e25381eb15b9f8671d4fd72a3c5616cdd06a5a870d7e8e789dbd9  ✓
    88  81ac6d342fd46443c0f7343a4acab991cf4be6e0afe367a66f8ba3f037e6682e  ✓
    89  ba0abf430508abcb1a6e4d743177f321de33dc0d30e05f42c5b958333977794e  ✓
    90  5dd7930fc7fad91ae7511818a8ba1b859eccb9caee121bd45b7be0c2de8bdc0b  ✓
    91  16a0dabf7f02f048c56c17e07f0bc45a152e41269aed1ec7839cf10ce0b2b7a0  ✓
    92  54f1ff0266251c20cd91aaccfdea20685ad051c59b08e5872f69f9eb811899f0  ✓
    93  10c4007cfe10364ee80ebfe5f35c62e285a3494b8db6a22ed6d4713a62fd07c5  ✓
    94  012dcab6760245b1f8a31eb8ae201e247412243e84fe673c8ccd42a25590c056  ✓
    95  976ed489bde1dd2ee6f690fd2ae46b61b838e60b6314fa6b2bc39a4eca5a6c63  ✓
    96  650b8bd3dbcc387fe160ad6e4c1526284610c6b45e099f9f3cdda40c99a80e0f  ✓
    97  d9ec8fbc91d2e1faa8056c2e24da87f7a29763ba872b47a3ff208032ab3a1958  ✓
    98  a29d2e53cc24a09804a33b29f239da45068d9c80c1151d283c70d323fb628b33  ✓
    99  ff4785240b85ec6389d2765d523083128aecbe14d25634979f90f4f569b4108f  ✓
   100  d80310ac34defc1be57d8b62546216a1f0dcb0e044d3dd4ed594db6bfa90cffe  ✓

# Matched: 100/100
# Verification: PASSED — all seeds bit-identical across environments
